date,nightly/27,nightly/28,nightly/29,nightly/30
18/9/2013,142058,0,0,0
19/9/2013,36147,0,0,0
20/9/2013,36268,0,0,0
21/9/2013,61577,0,0,0
22/9/2013,42154,0,0,0
23/9/2013,48148,0,0,0
24/9/2013,86777,0,0,0
25/9/2013,33027,0,0,0
26/9/2013,86626,0,0,0
27/9/2013,63132,0,0,0
28/9/2013,72159,0,0,0
29/9/2013,117731,0,0,0
30/9/2013,125953,0,0,0
1/10/2013,119332,0,0,0
2/10/2013,128561,0,0,0
3/10/2013,170877,0,0,0
4/10/2013,178534,0,0,0
5/10/2013,221149,0,0,0
6/10/2013,305282,0,0,0
7/10/2013,307312,0,0,0
8/10/2013,368641,0,0,0
9/10/2013,273211,0,0,0
10/10/2013,876910,0,0,0
11/10/2013,211784,0,0,0
12/10/2013,290235,0,0,0
13/10/2013,344324,0,0,0
14/10/2013,336077,0,0,0
15/10/2013,289629,0,0,0
16/10/2013,348353,0,0,0
17/10/2013,305562,0,0,0
18/10/2013,337821,0,0,0
19/10/2013,295850,0,0,0
20/10/2013,312335,0,0,0
21/10/2013,327337,0,0,0
22/10/2013,331770,0,0,0
23/10/2013,340404,0,0,0
24/10/2013,385100,0,0,0
25/10/2013,362850,0,0,0
26/10/2013,277415,0,0,0
27/10/2013,349834,0,0,0
28/10/2013,378617,0,0,0
2/11/2013,3,270221,0,0
3/11/2013,3,331205,0,0
6/11/2013,1,304284,0,0
8/11/2013,5,271822,0,0
18/11/2013,298,440187,0,0
19/11/2013,1,461748,0,0
23/11/2013,4,445850,0,0
26/11/2013,3,348280,0,0
30/11/2013,18,309587,0,0
2/12/2013,12,392475,0,0
7/12/2013,6,321165,0,0
9/12/2013,1,297006,24,0
16/12/2013,11,0,436856,0
23/1/2014,7,0,346478,0
27/1/2014,3,0,348697,0
29/10/2013,0,340104,0,0
30/10/2013,0,324026,0,0
31/10/2013,0,323992,0,0
1/11/2013,0,439051,0,0
2/11/2013,3,270221,0,0
3/11/2013,3,331205,0,0
4/11/2013,0,306329,0,0
5/11/2013,0,275898,0,0
6/11/2013,1,304284,0,0
7/11/2013,0,280662,0,0
8/11/2013,5,271822,0,0
9/11/2013,0,293909,0,0
10/11/2013,0,321708,0,0
11/11/2013,0,321336,0,0
12/11/2013,0,357858,0,0
13/11/2013,0,306743,0,0
14/11/2013,0,332442,0,0
15/11/2013,0,366252,0,0
16/11/2013,0,272307,0,0
17/11/2013,0,388283,0,0
18/11/2013,298,440187,0,0
19/11/2013,1,461748,0,0
20/11/2013,0,361818,0,0
21/11/2013,0,364245,0,0
22/11/2013,0,321539,0,0
23/11/2013,4,445850,0,0
24/11/2013,0,300859,0,0
25/11/2013,0,430483,0,0
26/11/2013,3,348280,0,0
27/11/2013,0,331672,0,0
28/11/2013,0,414501,0,0
29/11/2013,0,286273,0,0
30/11/2013,18,309587,0,0
1/12/2013,0,402295,0,0
2/12/2013,12,392475,0,0
3/12/2013,0,319837,0,0
4/12/2013,0,317967,0,0
5/12/2013,0,474830,0,0
6/12/2013,0,374117,0,0
7/12/2013,6,321165,0,0
8/12/2013,0,405180,0,0
9/12/2013,1,297006,24,0
10/12/2013,0,14,349459,0
13/12/2013,0,72,349375,0
14/12/2013,0,2,344402,0
17/12/2013,0,1,399731,0
18/12/2013,0,1,536935,0
27/12/2013,0,1,359319,0
31/12/2013,0,2,649597,0
15/1/2014,0,1,23,0
17/1/2014,0,19,1,0
20/1/2014,0,14,2,0
21/1/2014,0,1,5,0
22/1/2014,0,15,6,0
25/1/2014,0,2,319101,0
30/1/2014,0,3,389025,0
2/2/2014,0,4,28496,0
3/2/2014,0,3,39406,0
9/12/2013,1,297006,24,0
10/12/2013,0,14,349459,0
11/12/2013,0,0,334313,0
12/12/2013,0,0,362154,0
13/12/2013,0,72,349375,0
14/12/2013,0,2,344402,0
15/12/2013,0,0,340547,0
16/12/2013,11,0,436856,0
17/12/2013,0,1,399731,0
18/12/2013,0,1,536935,0
19/12/2013,0,0,403393,0
20/12/2013,0,0,369588,0
21/12/2013,0,0,342948,0
22/12/2013,0,0,378735,0
23/12/2013,0,0,443289,0
24/12/2013,0,0,351488,0
25/12/2013,0,0,332941,0
26/12/2013,0,0,339065,0
27/12/2013,0,1,359319,0
28/12/2013,0,0,706576,0
29/12/2013,0,0,2,0
30/12/2013,0,0,302426,0
31/12/2013,0,2,649597,0
2/1/2014,0,0,434879,0
3/1/2014,0,0,395206,0
4/1/2014,0,0,226949,0
5/1/2014,0,0,295542,0
6/1/2014,0,0,389361,0
7/1/2014,0,0,400899,0
8/1/2014,0,0,379505,0
9/1/2014,0,0,415537,0
10/1/2014,0,0,365641,0
11/1/2014,0,0,317935,0
12/1/2014,0,0,358564,0
13/1/2014,0,0,367884,0
14/1/2014,0,0,352097,0
15/1/2014,0,1,23,0
16/1/2014,0,0,11,0
17/1/2014,0,19,1,0
18/1/2014,0,0,38,0
19/1/2014,0,0,38,0
20/1/2014,0,14,2,0
21/1/2014,0,1,5,0
22/1/2014,0,15,6,0
23/1/2014,7,0,346478,0
24/1/2014,0,0,330181,0
25/1/2014,0,2,319101,0
26/1/2014,0,0,407320,0
27/1/2014,3,0,348697,0
28/1/2014,0,0,308227,0
29/1/2014,0,0,317548,0
30/1/2014,0,3,389025,0
31/1/2014,0,0,40359,0
1/2/2014,0,0,24042,0
2/2/2014,0,4,28496,0
3/2/2014,0,3,39406,0
4/2/2014,0,0,0,3444
5/2/2014,0,0,0,4493
6/2/2014,0,0,0,5610
7/2/2014,0,0,0,80568
8/2/2014,0,0,0,77160
9/2/2014,0,0,0,103283
10/2/2014,0,0,0,143004
11/2/2014,0,0,0,229853
12/2/2014,0,0,0,257742
13/2/2014,0,0,0,234216
14/2/2014,0,0,0,201322
15/2/2014,0,0,0,179396
16/2/2014,0,0,0,135846
17/2/2014,0,0,0,72772
18/2/2014,0,0,0,5714
