date,aurora/27,aurora/28,aurora/29,aurora/30
18/9/2013,97,0,0,0
19/9/2013,24,0,0,0
22/9/2013,2,0,0,0
23/9/2013,15,0,0,0
4/10/2013,1,0,0,0
9/10/2013,13,0,0,0
12/10/2013,1,0,0,0
24/10/2013,5,0,0,0
28/10/2013,287,0,0,0
29/10/2013,2408,0,0,0
30/10/2013,12575,1,0,0
31/10/2013,3171,2,0,0
1/11/2013,170614,0,0,0
2/11/2013,247762,0,0,0
3/11/2013,303970,46,0,0
4/11/2013,302812,9,0,0
5/11/2013,304014,2,0,0
6/11/2013,292988,4,0,0
7/11/2013,274520,1,0,0
8/11/2013,275114,0,0,0
9/11/2013,289075,0,0,0
10/11/2013,285940,0,0,0
11/11/2013,341195,3,0,0
12/11/2013,282799,40,0,0
13/11/2013,328117,46,0,0
14/11/2013,322885,0,0,0
15/11/2013,372831,0,0,0
16/11/2013,226985,0,0,0
17/11/2013,352084,46,0,0
18/11/2013,468827,3,0,0
19/11/2013,296529,0,0,0
20/11/2013,155761,0,0,0
21/11/2013,493180,1,0,0
22/11/2013,146656,0,0,0
23/11/2013,460531,47,0,0
24/11/2013,224648,0,0,0
25/11/2013,392148,0,0,0
26/11/2013,228189,0,0,0
27/11/2013,329815,3,0,0
28/11/2013,412782,0,0,0
29/11/2013,216159,28,0,0
30/11/2013,363070,0,0,0
1/12/2013,216718,0,0,0
2/12/2013,328793,0,0,0
3/12/2013,308997,0,0,0
4/12/2013,330731,28,0,0
5/12/2013,410207,39,0,0
6/12/2013,205290,39,0,0
7/12/2013,300457,0,0,0
8/12/2013,249581,0,0,0
9/12/2013,1476056,18,0,0
16/12/2013,15,310656,0,0
9/1/2014,6,328219,1,0
23/1/2014,6,356474,0,0
27/1/2014,27,334390,33,0
12/2/2014,2,0,29705,0
30/10/2013,12575,1,0,0
31/10/2013,3171,2,0,0
3/11/2013,303970,46,0,0
4/11/2013,302812,9,0,0
5/11/2013,304014,2,0,0
6/11/2013,292988,4,0,0
7/11/2013,274520,1,0,0
11/11/2013,341195,3,0,0
12/11/2013,282799,40,0,0
13/11/2013,328117,46,0,0
17/11/2013,352084,46,0,0
18/11/2013,468827,3,0,0
21/11/2013,493180,1,0,0
23/11/2013,460531,47,0,0
27/11/2013,329815,3,0,0
29/11/2013,216159,28,0,0
4/12/2013,330731,28,0,0
5/12/2013,410207,39,0,0
6/12/2013,205290,39,0,0
9/12/2013,1476056,18,0,0
10/12/2013,0,66586,0,0
11/12/2013,0,15246,1,0
12/12/2013,0,10150,1,0
13/12/2013,0,236178,0,0
14/12/2013,0,348423,40,0
15/12/2013,0,269666,0,0
16/12/2013,15,310656,0,0
17/12/2013,0,290035,0,0
18/12/2013,0,363076,11,0
19/12/2013,0,272519,0,0
20/12/2013,0,303377,0,0
21/12/2013,0,272511,0,0
22/12/2013,0,297239,0,0
23/12/2013,0,318190,0,0
24/12/2013,0,262521,0,0
25/12/2013,0,340250,0,0
26/12/2013,0,269028,0,0
27/12/2013,0,289343,0,0
28/12/2013,0,281272,0,0
29/12/2013,0,317028,39,0
30/12/2013,0,328992,0,0
31/12/2013,0,260554,0,0
1/1/2014,0,302939,0,0
2/1/2014,0,403980,42,0
3/1/2014,0,258474,11,0
4/1/2014,0,313732,0,0
5/1/2014,0,359935,0,0
6/1/2014,0,460833,1,0
7/1/2014,0,311856,0,0
8/1/2014,0,428334,0,0
9/1/2014,6,328219,1,0
10/1/2014,0,238896,0,0
11/1/2014,0,366954,55,0
12/1/2014,0,362609,63,0
13/1/2014,0,274746,1,0
14/1/2014,0,320474,0,0
15/1/2014,0,498758,0,0
16/1/2014,0,273410,0,0
17/1/2014,0,383423,0,0
18/1/2014,0,333876,0,0
19/1/2014,0,215240,0,0
20/1/2014,0,306971,0,0
21/1/2014,0,319190,0,0
22/1/2014,0,354160,0,0
23/1/2014,6,356474,0,0
24/1/2014,0,333270,0,0
25/1/2014,0,294081,0,0
26/1/2014,0,330310,0,0
27/1/2014,27,334390,33,0
28/1/2014,0,393390,38,0
29/1/2014,0,289688,7,0
30/1/2014,0,316131,66,0
31/1/2014,0,309207,0,0
1/2/2014,0,277496,0,0
2/2/2014,0,254559,0,0
3/2/2014,0,1410042,1,0
5/2/2014,0,1,160,0
10/2/2014,0,3,14477,1
13/2/2014,0,2,27587,39
11/12/2013,0,15246,1,0
12/12/2013,0,10150,1,0
14/12/2013,0,348423,40,0
18/12/2013,0,363076,11,0
29/12/2013,0,317028,39,0
2/1/2014,0,403980,42,0
3/1/2014,0,258474,11,0
6/1/2014,0,460833,1,0
9/1/2014,6,328219,1,0
11/1/2014,0,366954,55,0
12/1/2014,0,362609,63,0
13/1/2014,0,274746,1,0
27/1/2014,27,334390,33,0
28/1/2014,0,393390,38,0
29/1/2014,0,289688,7,0
30/1/2014,0,316131,66,0
3/2/2014,0,1410042,1,0
4/2/2014,0,0,41,0
5/2/2014,0,1,160,0
6/2/2014,0,0,470,0
7/2/2014,0,0,7381,1
8/2/2014,0,0,9539,0
9/2/2014,0,0,15760,0
10/2/2014,0,3,14477,1
11/2/2014,0,0,26676,0
12/2/2014,2,0,29705,0
13/2/2014,0,2,27587,39
14/2/2014,0,0,23311,0
15/2/2014,0,0,166525,0
16/2/2014,0,0,128320,0
17/2/2014,0,0,61711,0
18/2/2014,0,0,4333,0
19/2/2014,0,0,271,0
7/2/2014,0,0,7381,1
10/2/2014,0,3,14477,1
13/2/2014,0,2,27587,39
