date,release/27,release/28,release/29,release/30
18/9/2013,1116,0,0,0
24/9/2013,341,0,0,0
25/9/2013,22,0,0,0
2/10/2013,1,0,0,0
3/10/2013,10,0,0,0
4/10/2013,92,0,0,0
5/10/2013,2,0,0,0
6/10/2013,38,0,0,0
9/10/2013,2,0,0,0
11/10/2013,1,0,0,0
12/10/2013,2,0,0,0
16/10/2013,31,0,0,0
20/10/2013,8,0,0,0
23/10/2013,6,0,0,0
28/10/2013,43,0,0,0
2/11/2013,1,9,0,0
3/11/2013,2,6,0,0
13/11/2013,2,0,0,0
21/11/2013,7,0,0,0
23/11/2013,93,0,0,0
26/11/2013,216,15,0,0
9/12/2013,965,6,0,0
16/12/2013,3141,0,1,0
6/1/2014,730,0,170,0
9/1/2014,514,49,2,0
13/1/2014,649,0,1,0
16/1/2014,826,0,0,0
20/1/2014,256,0,0,0
23/1/2014,638,0,0,0
27/1/2014,33664156,0,3,0
28/1/2014,6088726,0,11,0
12/2/2014,15007900,0,0,1
30/10/2013,0,14,0,0
31/10/2013,0,4,0,0
1/11/2013,0,3,0,0
2/11/2013,1,9,0,0
3/11/2013,2,6,0,0
7/11/2013,0,19,0,0
9/11/2013,0,7,0,0
10/11/2013,0,2,0,0
11/11/2013,0,12,0,0
15/11/2013,0,16,0,0
16/11/2013,0,35,0,0
17/11/2013,0,19,0,0
19/11/2013,0,44,0,0
22/11/2013,0,3,0,0
24/11/2013,0,12,0,0
26/11/2013,216,15,0,0
28/11/2013,0,21,0,0
29/11/2013,0,1,0,0
1/12/2013,0,4,0,0
3/12/2013,0,16,0,0
6/12/2013,0,29,0,0
7/12/2013,0,2,0,0
9/12/2013,965,6,0,0
27/12/2013,0,6,0,0
30/12/2013,0,313,11,0
2/1/2014,0,38,25,0
9/1/2014,514,49,2,0
14/1/2014,0,1,7,0
15/1/2014,0,3,0,0
17/1/2014,0,73,0,0
3/2/2014,0,30,0,0
5/2/2014,0,472,0,0
10/2/2014,0,253,0,24
13/2/2014,0,169,0,0
10/12/2013,0,0,417,0
11/12/2013,0,0,2,0
16/12/2013,3141,0,1,0
17/12/2013,0,0,22,0
18/12/2013,0,0,288,0
21/12/2013,0,0,1,0
22/12/2013,0,0,61,0
23/12/2013,0,0,7,0
24/12/2013,0,0,2,0
26/12/2013,0,0,5,0
28/12/2013,0,0,2,0
30/12/2013,0,313,11,0
31/12/2013,0,0,11,0
2/1/2014,0,38,25,0
3/1/2014,0,0,4,0
4/1/2014,0,0,3,0
5/1/2014,0,0,3,0
6/1/2014,730,0,170,0
8/1/2014,0,0,1,0
9/1/2014,514,49,2,0
11/1/2014,0,0,1,0
12/1/2014,0,0,4,0
13/1/2014,649,0,1,0
14/1/2014,0,1,7,0
24/1/2014,0,0,11,0
25/1/2014,0,0,1,0
27/1/2014,33664156,0,3,0
28/1/2014,6088726,0,11,0
9/2/2014,0,0,0,7
10/2/2014,0,253,0,24
12/2/2014,15007900,0,0,1
14/2/2014,0,0,0,1
15/2/2014,0,0,0,11
